SYMBOL,cell,type
MS4A6A,Macrophages/Dendritic cells,tissue
MS4A7,Macrophages/Dendritic cells,tissue
MSR1,Macrophages/Dendritic cells,tissue
MYO1F,Macrophages/Dendritic cells,tissue
NCF2,Macrophages/Dendritic cells,tissue
NCKAP1L,Macrophages/Dendritic cells,tissue
NPL,Macrophages/Dendritic cells,tissue
NR1H3,Macrophages/Dendritic cells,tissue
P2RY13,Macrophages/Dendritic cells,tissue
PLA2G7,Macrophages/Dendritic cells,tissue
PLEKHO2,Macrophages/Dendritic cells,tissue
SCPEP1,Macrophages/Dendritic cells,tissue
SLAMF8,Macrophages/Dendritic cells,tissue
SLC15A3,Macrophages/Dendritic cells,tissue
SLC31A2,Macrophages/Dendritic cells,tissue
SLCO2B1,Macrophages/Dendritic cells,tissue
SNX10,Macrophages/Dendritic cells,tissue
SPI1,Macrophages/Dendritic cells,tissue
TBXAS1,Macrophages/Dendritic cells,tissue
TLR8,Macrophages/Dendritic cells,tissue
TMEM140,Macrophages/Dendritic cells,tissue
TNFAIP2,Macrophages/Dendritic cells,tissue
TNFRSF1B,Macrophages/Dendritic cells,tissue
TNFSF13B,Macrophages/Dendritic cells,tissue
TRPV2,Macrophages/Dendritic cells,tissue
TYMP,Macrophages/Dendritic cells,tissue
TYROBP,Macrophages/Dendritic cells,tissue
VSIG4,Macrophages/Dendritic cells,tissue
AIF1,Monocytes,tissue
CD14,Monocytes,tissue
CD300LF,Monocytes,tissue
FGR,Monocytes,tissue
LILRB2,Monocytes,tissue
LILRB3,Monocytes,tissue
LST1,Monocytes,tissue
PILRA,Monocytes,tissue
CD93,Monocytes,tissue
HCK,Monocytes,tissue
TIMP2,Monocytes,tissue
VCAN,Monocytes,tissue
LILRA6,Monocytes,tissue
SLC7A7,Monocytes,tissue
CTSD,Monocytes,tissue
EMILIN2,Monocytes,tissue
FCN1,Monocytes,tissue
FES,Monocytes,tissue
GNS,Monocytes,tissue
PLXDC2,Monocytes,tissue
THEMIS2,Monocytes,tissue
TNS3,Monocytes,tissue
ASGR1,Monocytes,tissue
CD33,Monocytes,tissue
HMOX1,Monocytes,tissue
PSAP,Monocytes,tissue
TGFBI,Monocytes,tissue
TPP1,Monocytes,tissue
LRRC25,Monocytes,tissue
NOTCH2,Monocytes,tissue
AGTRAP,Monocytes,tissue
C10orf54,Monocytes,tissue
GRN,Monocytes,tissue
KIAA0513,Monocytes,tissue
NFAM1,Monocytes,tissue
PRAM1,Monocytes,tissue
PYCARD,Monocytes,tissue
SERPINA1,Monocytes,tissue
RHOG,Monocytes,tissue
IMPDH1,Monocytes,tissue
KIAA0930,Monocytes,tissue
PFKFB4,Monocytes,tissue
S100A9,Neutrophils,tissue
ACSL1,Neutrophils,tissue
AQP9,Neutrophils,tissue
CFP,Neutrophils,tissue
CSF3R,Neutrophils,tissue
DENND5A,Neutrophils,tissue
DYSF,Neutrophils,tissue
FPR1,Neutrophils,tissue
PHC2,Neutrophils,tissue
PLXNC1,Neutrophils,tissue
TLR2,Neutrophils,tissue
TLR4,Neutrophils,tissue
ALPK1,Neutrophils,tissue
CD97,Neutrophils,tissue
DOCK5,Neutrophils,tissue
IFITM2,Neutrophils,tissue
IGF2R,Neutrophils,tissue
IL17RA,Neutrophils,tissue
KCNJ2,Neutrophils,tissue
KIAA0247,Neutrophils,tissue
LIMK2,Neutrophils,tissue
PADI2,Neutrophils,tissue
RALB,Neutrophils,tissue
RNF149,Neutrophils,tissue
TNFRSF1A,Neutrophils,tissue
WDFY3,Neutrophils,tissue
BASP1,Neutrophils,tissue
BCL6,Neutrophils,tissue
CEP19,Neutrophils,tissue
CFLAR,Neutrophils,tissue
CXCR2,Neutrophils,tissue
DGAT2,Neutrophils,tissue
FAM65B,Neutrophils,tissue
FCGR2C,Neutrophils,tissue
GLT1D1,Neutrophils,tissue
GPR97,Neutrophils,tissue
IQSEC1,Neutrophils,tissue
ITPRIP,Neutrophils,tissue
LILRA2,Neutrophils,tissue
LINC01000,Neutrophils,tissue
LINC01002,Neutrophils,tissue
MGAM,Neutrophils,tissue
MOB3A,Neutrophils,tissue
NAMPT,Neutrophils,tissue
NCF4,Neutrophils,tissue
PHF21A,Neutrophils,tissue
PPIF,Neutrophils,tissue
PREX1,Neutrophils,tissue
SLC25A37,Neutrophils,tissue
SNORD89,Neutrophils,tissue
SSH2,Neutrophils,tissue
STAT3,Neutrophils,tissue
STAT5B,Neutrophils,tissue
THBD,Neutrophils,tissue
TMEM154,Neutrophils,tissue
TNFRSF10C,Neutrophils,tissue
S100A8,Neutrophils,tissue
KIR2DL1,NK cells,tissue
KIR2DL2,NK cells,tissue
KIR2DL4,NK cells,tissue
KIR2DL5A,NK cells,tissue
KIR2DS1,NK cells,tissue
KIR2DS2,NK cells,tissue
KIR2DS3,NK cells,tissue
KIR2DS5,NK cells,tissue
KIR3DL1,NK cells,tissue
KIR3DL2,NK cells,tissue
KIR3DL3,NK cells,tissue
TBX21,NK cells,tissue
KIR2DL3,NK cells,tissue
KLRC2,NK cells,tissue
KLRC3,NK cells,tissue
KLRC4,NK cells,tissue
KLRD1,NK cells,tissue
PRF1,NK cells,tissue
SAMD3,NK cells,tissue
SH2D1B,NK cells,tissue
GUSBP11,Plasma cells,tissue
IGH,Plasma cells,tissue
IGHG3,Plasma cells,tissue
IGJ,Plasma cells,tissue
IGKC,Plasma cells,tissue
IGKV1D-13,Plasma cells,tissue
IGLC1,Plasma cells,tissue
IGLJ3,Plasma cells,tissue
IGLL3P,Plasma cells,tissue
IGLV@,Plasma cells,tissue
IGLV1-44,Plasma cells,tissue
MZB1,Plasma cells,tissue
TNFRSF17,Plasma cells,tissue
TXNDC5,Plasma cells,tissue
ABLIM3,Platelets,tissue
ACRBP,Platelets,tissue
ALOX12,Platelets,tissue
AQP10,Platelets,tissue
ARHGAP6,Platelets,tissue
BEND2,Platelets,tissue
C19orf33,Platelets,tissue
C1orf198,Platelets,tissue
CALD1,Platelets,tissue
CLEC1B,Platelets,tissue
CLU,Platelets,tissue
CMTM5,Platelets,tissue
CTDSPL,Platelets,tissue
DNM3,Platelets,tissue
EGF,Platelets,tissue
ELOVL7,Platelets,tissue
ENDOD1,Platelets,tissue
GFI1B,Platelets,tissue
GNAZ,Platelets,tissue
GNG11,Platelets,tissue
GP1BA,Platelets,tissue
GP1BB,Platelets,tissue
GP6,Platelets,tissue
GUCY1A3,Platelets,tissue
GUCY1B3,Platelets,tissue
ITGA2B,Platelets,tissue
ITGB3,Platelets,tissue
LOC100130938,Platelets,tissue
LTBP1,Platelets,tissue
LY6G6D,Platelets,tissue
MFAP3L,Platelets,tissue
MMD,Platelets,tissue
MMRN1,Platelets,tissue
MPL,Platelets,tissue
MTURN,Platelets,tissue
MYL9,Platelets,tissue
MYLK,Platelets,tissue
NRGN,Platelets,tissue
PCSK6,Platelets,tissue
PDGFA,Platelets,tissue
PEAR1,Platelets,tissue
PF4,Platelets,tissue
PGRMC1,Platelets,tissue
PPBP,Platelets,tissue
PRKAR2B,Platelets,tissue
PROS1,Platelets,tissue
PRTFDC1,Platelets,tissue
RAB27B,Platelets,tissue
RHOBTB1,Platelets,tissue
SDPR,Platelets,tissue
SEC14L5,Platelets,tissue
SELP,Platelets,tissue
SH3BGRL2,Platelets,tissue
SLC24A3,Platelets,tissue
SPX,Platelets,tissue
STON2,Platelets,tissue
TBXA2R,Platelets,tissue
TDRP,Platelets,tissue
TGFB1I1,Platelets,tissue
TMEM40,Platelets,tissue
TRBV27,Platelets,tissue
TREML1,Platelets,tissue
TUBB1,Platelets,tissue
WASF3,Platelets,tissue
AMICA1,T cells,tissue
ARHGAP9,T cells,tissue
C1orf162,T cells,tissue
CCR5,T cells,tissue
CD2,T cells,tissue
CD247,T cells,tissue
CD28,T cells,tissue
CD3D,T cells,tissue
CD3G,T cells,tissue
CD8A,T cells,tissue
CXCL9,T cells,tissue
EVI2A,T cells,tissue
EVI2B,T cells,tissue
FAM26F,T cells,tissue
FYB,T cells,tissue
GIMAP2,T cells,tissue
GIMAP4,T cells,tissue
GIMAP5,T cells,tissue
GIMAP6,T cells,tissue
GIMAP7,T cells,tissue
GPR171,T cells,tissue
GZMK,T cells,tissue
ICOS,T cells,tissue
IL23A,T cells,tissue
IL7R,T cells,tissue
ITGAL,T cells,tissue
ITK,T cells,tissue
PARVG,T cells,tissue
PPM1M,T cells,tissue
PRKCH,T cells,tissue
PTPRC,T cells,tissue
SH2D1A,T cells,tissue
SIRPG,T cells,tissue
TARP,T cells,tissue
TBC1D10C,T cells,tissue
TRAC,T cells,tissue
TRAF3IP3,T cells,tissue
TRAT1,T cells,tissue
TRGC2,T cells,tissue
TRGV9,T cells,tissue
UBASH3A,T cells,tissue
APBB1IP,T cells,tissue
ARHGAP15,T cells,tissue
ARHGAP25,T cells,tissue
BTK,T cells,tissue
CCR2,T cells,tissue
CCR7,T cells,tissue
CD27,T cells,tissue
CD48,T cells,tissue
CD52,T cells,tissue
CD96,T cells,tissue
CLIC2,T cells,tissue
CORO1A,T cells,tissue
CRTAM,T cells,tissue
CXCR6,T cells,tissue
CYTIP,T cells,tissue
DOCK10,T cells,tissue
DOCK2,T cells,tissue
DOCK8,T cells,tissue
FLI1,T cells,tissue
FYN,T cells,tissue
GMFG,T cells,tissue
GPR18,T cells,tissue
HCST,T cells,tissue
HVCN1,T cells,tissue
IL10RA,T cells,tissue
IL16,T cells,tissue
KLHL6,T cells,tissue
KLRB1,T cells,tissue
LCP1,T cells,tissue
LY86,T cells,tissue
MPEG1,T cells,tissue
NCF1,T cells,tissue
NCF1B,T cells,tissue
NLRC3,T cells,tissue
PSTPIP1,T cells,tissue
PTPRCAP,T cells,tissue
PVRIG,T cells,tissue
RASSF5,T cells,tissue
RCSD1,T cells,tissue
RGS18,T cells,tissue
RHOH,T cells,tissue
SASH3,T cells,tissue
SLA,T cells,tissue
SP140,T cells,tissue
WDFY4,T cells,tissue
BIN2,T cells,tissue
CCL19,T cells,tissue
CD3E,T cells,tissue
CD6,T cells,tissue
DPEP2,T cells,tissue
FMNL1,T cells,tissue
GAB3,T cells,tissue
HMHA1,T cells,tissue
RNF166,T cells,tissue
TNFRSF9,T cells,tissue
EEF1A1,Ribosomes,tissue
EEF1B2,Ribosomes,tissue
EEF1D,Ribosomes,tissue
EEF1G,Ribosomes,tissue
EIF3D,Ribosomes,tissue
EIF3E,Ribosomes,tissue
EIF3F,Ribosomes,tissue
EIF3G,Ribosomes,tissue
EIF3H,Ribosomes,tissue
EIF3K,Ribosomes,tissue
FAU,Ribosomes,tissue
GNB2L1,Ribosomes,tissue
NACA,Ribosomes,tissue
PFDN5,Ribosomes,tissue
RPL10,Ribosomes,tissue
RPL10L,Ribosomes,tissue
RPL11,Ribosomes,tissue
RPL12,Ribosomes,tissue
RPL13,Ribosomes,tissue
RPL13A,Ribosomes,tissue
RPL14,Ribosomes,tissue
RPL15,Ribosomes,tissue
RPL17,Ribosomes,tissue
RPL18,Ribosomes,tissue
RPL18A,Ribosomes,tissue
RPL19,Ribosomes,tissue
RPL21,Ribosomes,tissue
RPL22,Ribosomes,tissue
RPL23,Ribosomes,tissue
RPL23A,Ribosomes,tissue
RPL24,Ribosomes,tissue
RPL27,Ribosomes,tissue
RPL27A,Ribosomes,tissue
RPL28,Ribosomes,tissue
RPL29,Ribosomes,tissue
RPL3,Ribosomes,tissue
RPL30,Ribosomes,tissue
RPL31,Ribosomes,tissue
RPL32,Ribosomes,tissue
RPL34,Ribosomes,tissue
RPL35,Ribosomes,tissue
RPL35A,Ribosomes,tissue
RPL36A,Ribosomes,tissue
RPL37,Ribosomes,tissue
RPL37A,Ribosomes,tissue
RPL38,Ribosomes,tissue
RPL39,Ribosomes,tissue
RPL4,Ribosomes,tissue
RPL5,Ribosomes,tissue
RPL6,Ribosomes,tissue
RPL7,Ribosomes,tissue
RPL7A,Ribosomes,tissue
RPL8,Ribosomes,tissue
RPL9,Ribosomes,tissue
RPLP0,Ribosomes,tissue
RPLP2,Ribosomes,tissue
RPS10,Ribosomes,tissue
RPS11,Ribosomes,tissue
RPS13,Ribosomes,tissue
RPS14,Ribosomes,tissue
RPS15,Ribosomes,tissue
RPS15A,Ribosomes,tissue
RPS16,Ribosomes,tissue
RPS17,Ribosomes,tissue
RPS18,Ribosomes,tissue
RPS19,Ribosomes,tissue
RPS2,Ribosomes,tissue
RPS20,Ribosomes,tissue
RPS21,Ribosomes,tissue
RPS23,Ribosomes,tissue
RPS25,Ribosomes,tissue
RPS27A,Ribosomes,tissue
RPS28,Ribosomes,tissue
RPS29,Ribosomes,tissue
RPS3,Ribosomes,tissue
RPS3A,Ribosomes,tissue
RPS5,Ribosomes,tissue
RPS6,Ribosomes,tissue
RPS7,Ribosomes,tissue
RPS8,Ribosomes,tissue
RPS9,Ribosomes,tissue
RPSA,Ribosomes,tissue
SNHG6,Ribosomes,tissue
SNHG8,Ribosomes,tissue
SNRPD2,Ribosomes,tissue
UXT,Ribosomes,tissue
